Indicator,Most_Likely_Class,Max_Probability,Prob_Class_0,Prob_Class_1,Prob_Class_2,Prob_Class_3,Prob_Class_4,Prob_Class_5,Prob_Class_6,Prob_Class_7,Prob_Class_8,Prob_Class_9,Prob_Class_10,Prob_Class_11,Prob_Class_12,Prob_Class_13,Prob_Class_14,Prob_Class_15
142,3,0.11644379,0.09534933,0.05192614,0.06490176,0.11644379,0.09268595,0.029106947,0.0070008705,0.029694885,0.02081828,0.05193481,0.097757466,0.07978345,0.073362134,0.06504713,0.074638285,0.04954879
143,15,0.13585728,0.04849408,0.07554109,0.027364014,0.032585558,0.046571545,0.07780772,0.0839166,0.1121432,0.019778484,0.004164007,0.043472987,0.058361832,0.06429772,0.090730175,0.078913696,0.13585728
144,1,0.100259505,0.054750722,0.100259505,0.051943738,0.056791153,0.05460491,0.0512966,0.061259758,0.08172462,0.07381382,0.07479301,0.056070093,0.04715807,0.059157234,0.06517621,0.065684356,0.045516167
145,4,0.10535934,0.082148336,0.054848764,0.049425475,0.06420692,0.10535934,0.035462447,0.057447776,0.04930115,0.046132647,0.04218872,0.07388634,0.073479205,0.08033148,0.05291907,0.06759586,0.065266445
146,15,0.18205795,0.07189243,0.030339615,0.08851696,0.04952301,0.09745289,0.044021167,0.04211544,0.07296769,0.11135402,0.06674525,0.048661884,0.018845834,0.05482373,0.0057559134,0.014926243,0.18205795
147,8,0.1912379,0.04885808,0.038987298,0.06916596,0.03545738,0.12636492,0.048464328,0.055663377,0.06670449,0.1912379,0.10579308,0.05238614,0.021592684,0.00725348,0.031694997,0.046147656,0.054228142
148,7,0.10513815,0.05011111,0.000564574,0.090062454,0.08560831,0.068356745,0.07142691,0.0751995,0.10513815,0.10417928,0.0766841,-0.005786855,0.0014286761,0.039633803,0.065510914,0.08624898,0.0856334
149,12,0.090424284,0.07896169,0.03910724,0.07888,0.08368101,0.048061367,0.0576256,0.056912705,0.068170756,0.074306525,0.07610184,0.036181204,0.030180568,0.090424284,0.059221793,0.064733624,0.05744978
150,8,0.17512286,0.07133326,0.023073586,0.089483395,0.057978746,0.071638055,0.055155043,0.043683123,0.047554087,0.17512286,0.10910574,0.014739641,0.0051224846,0.05910196,0.041550994,0.04894883,0.08640822
151,12,0.12960269,0.041698284,0.041048888,0.0879451,0.06519337,0.06320517,0.039652284,0.081327654,0.04203807,0.046899576,0.07400588,0.04477049,0.03592554,0.12960269,0.054948177,0.06306713,0.08867167
152,12,0.10894806,0.052146964,0.03910615,0.08528919,0.07351281,0.07380673,0.04858265,0.09695622,0.07255671,0.05973401,0.056319725,0.028112967,0.02163619,0.10894806,0.052018166,0.05157693,0.079696536
